reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
669;45;45;Stensele 271;7216749;599351;Stensele;Yes;Light;Opaque;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Irregular;No;Dark mineral grains;;22;43;9;10;946;Medium;54.1205 ;0.3536 ;0.2660 ;45.0273 ;;0.0245 ;0.1315 ;0.0394 ;0.0112 ;;0.0063 ;;;;;;;;;;0.0005 ;;0.0017 ;;;;;;0.0006 ;;0.0142 ;;;;;;;0.0027 ;;;;
670;46;46;;7096297;752920;Umeaa;No;Light;Opaque;Breccie quartz;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;;63;184;10;;11592;Large;53.3229 ;0.7975 ;0.4416 ;44.7062 ;0.0340 ;0.1520 ;0.3226 ;0.1349 ;0.0602 ;;0.0019 ;;0.0094 ;;;;0.0008 ;;;;0.0001 ;;0.0038 ;;;;;;0.0005 ;;0.0080 ;;;;;;;0.0036 ;;;;
671;46b;46;;7096297;752920;Umeaa;No;Light;Opaque;Breccie quartz;Point;Point;Sample point on dark mineral inclusion;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;;63;184;10;;11592;Large;;;1.1780 ;93.8792 ;0.0916 ;1.0081 ;1.8409 ;0.6455 ;0.7450 ;0.0091 ;;0.4262 ;;0.0092 ;;;;;;;;;;;;;;;0.0037 ;;0.0673 ;;;;;;;0.1040 ;;;;
672;47;47;;7096297;752920;Umeaa;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;61;114;;;6954;Large;57.8197 ;;0.8490 ;40.6581 ;0.0328 ;0.0663 ;0.0708 ;0.2753 ;0.1451 ;;;;0.0214 ;;;;;;;;;;0.0012 ;;;;;;0.0006 ;;0.0158 ;;;;;;;0.0440 ;;;;
674;49;49;;7096297;752920;Umeaa;No;Light;Opaque;Breccie quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Dark mineral grains;;14;41;;;574;Small;63.9303 ;;1.2905 ;33.9932 ;0.0989 ;0.0494 ;0.2426 ;0.2520 ;0.0300 ;0.0006 ;;;0.0925 ;;;;;;;;0.0004 ;;0.0007 ;;;;;;;;0.0092 ;;;;;;;0.0097 ;;;;
675;50;50;;7096297;752920;Umeaa;No;White;White;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;Dirt;15;22;;;330;Small;56.6216 ;;0.3109 ;42.7815 ;;0.0649 ;0.0795 ;0.0700 ;0.0129 ;;0.0315 ;;0.0128 ;;;;;;;0.0001 ;;;;;;;;;;;0.0040 ;;;;;;;0.0103 ;;;;
676;51;51;;7096297;752920;Umeaa;No;Light;Opaque;Breccie quartz;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Dark mineral grains;Dirt or iron oxide;15;35;;;525;Small;54.3691 ;0.2642 ;0.1445 ;44.9011 ;0.0115 ;0.0098 ;0.1935 ;0.0853 ;0.0076 ;;0.0027 ;;0.0051 ;;;;;;;0.0001 ;;;0.0015 ;;;;;;;;0.0039 ;;;;;;;;;;;
677;52;52;;7099679;730889;Vaennaes;No;Light;Gray;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;Glue and dirt;17;45;7;4;765;Medium;53.6724 ;0.2963 ;1.3187 ;43.2209 ;0.0341 ;0.0953 ;0.2249 ;0.8111 ;0.0501 ;0.0007 ;0.0027 ;;0.0774 ;;;;0.0005 ;;;0.0035 ;0.0009 ;0.0011 ;0.0494 ;;;;;;0.0006 ;;0.0207 ;;;;;;;0.1183 ;;;0.0005 ;
678;53;53;;7099679;730889;Vaennaes;No;Dark;Black;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;32;94;11;37;3008;Large;55.1841 ;0.4238 ;0.2921 ;43.4601 ;0.0158 ;0.0695 ;0.3178 ;0.1525 ;0.0315 ;;0.0033 ;;0.0178 ;;;;;;;0.0004 ;0.0001 ;;0.0017 ;;;;;;;;0.0134 ;;;;;;;0.0163 ;;;;
685;60;60;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Fine;No;Mineral grains;;27;52;9;19;1404;Medium;56.0246 ;;0.7454 ;42.3219 ;0.0301 ;0.0944 ;0.1651 ;0.1743 ;0.0212 ;;0.0034 ;;0.1750 ;;;;0.0014 ;0.0001 ;;0.0007 ;0.0003 ;;0.0111 ;;;;;;0.0007 ;;0.0169 ;;;;;;;0.0288 ;;;;
686;61;61;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;30;85;12;25;2550;Large;;;5.0611 ;90.1017 ;0.1989 ;0.4048 ;0.8816 ;1.5865 ;0.2821 ;0.0074 ;0.0201 ;0.1570 ;0.0146 ;0.0034 ;;;;;;;;;;;;;;;;;0.2647 ;;;;;;;1.0268 ;;;;
687;62;62;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;26;100;9;26;2600;Large;56.9803 ;;0.7163 ;41.0805 ;0.0418 ;0.2793 ;0.3211 ;0.2833 ;0.0631 ;;0.0020 ;;0.0760 ;;;;0.0023 ;;;0.0009 ;0.0008 ;0.0001 ;0.0151 ;;;;;;;;0.0169 ;;;;;;;0.0432 ;;;;
